"name","category","tags","url","github","description"
"Appsmith","app-builder","app-development, low-code, office","appsmith.com","appsmithorg/appsmith","Platform to build admin panels, internal tools, and dashboards. Integrates with 25+ databases and any API."
"LowCoder","app-builder","low-code, app-development","lowcoder.dev","lowcoder-org/lowcoder","Low-code platform for building internal tools."
"Nocobase","app-builder","low-code, app-development","nocobase.com","nocobase/nocobase","Scalability-first, open-source no-code/low-code platform."
"Supabase","app-builder","low-code, app-development","supabase.com","supabase/supabase","The open source Firebase alternative."
"Baserow","app-builder","low-code, app-development, office","baserow.io","baserow/baserow","Open source no-code database tool and Airtable alternative."
"Cockpit","app-deployment","infrastructure, devsecops, app-development","cockpit-project.org","cockpit-project/cockpit","Web-based graphical interface for managing Linux servers."
"Jenkins","app-deployment","infrastructure, devsecops, app-development","jenkins.io","jenkinsci/jenkins","Open source automation server."
"ArgoCD","app-deployment","infrastructure, devsecops, app-development","argoproj.github.io/cd","argoproj/argo-cd","Declarative continuous deployment for Kubernetes."
"GlitchTip","app-monitoring","app-development","glitchtip.com","glitchtip/glitchtip","Open-source error tracking platform."
"Authentik","app-security","infrastructure, app-development","goauthentik.io","goauthentik/authentik","The authentication glue you need. Open-source Identity Provider (IdP) for modern Single Sign-On (SSO)."
"Cap Captcha",app-security,"app-development",trycap.dev,tiagozip/cap,"Free, open-source, and self-hosted CAPTCHA alternative designed for the modern web."
"Faraday","app-security","devsecops, infrastructure","faradaysec.com","infobyte/faraday","Open-source Vulnerability Management Platform."
"Infisical","app-security","devsecops, infrastructure","infisical.com","Infisical/infisical","Open source secret management platform."
"Keycloak","app-security","app-development, infrastructure","keycloak.org","keycloak/keycloak","Open Source Identity and Access Management."
"LogTo","app-security","app-development, infrastructure","logto.io","logto-io/logto","Logto helps you build the sign-in, auth, and user identity."
"Passbolt","app-security","team-collaboration, office","passbolt.com","passbolt/passbolt_api","Open source password manager for teams."
"Vaultwarden","app-security","team-collaboration, office",,"dani-garcia/vaultwarden","Unofficial Bitwarden compatible server written in Rust."
"Pocket Id","app-security","app-development, infrastructure","pocket-id.org","pocket-id/pocket-id","A simple and easy-to-use OIDC provider that allows users to authenticate with their passkeys to your services."
"SuperTokens","app-security","app-development, infrastructure","supertokens.com","supertokens/supertokens-core","Open source alternative to Auth0 / Firebase Auth / AWS Cognito."
"Authelia","app-security","app-development, infrastructure","authelia.com","authelia/authelia","The Single Sign-On Multi-Factor portal for web apps."
"Psono","app-security","team-collaboration, office","psono.com","psono/psono-server","Open source password manager for teams."
"LLDAP","app-security","infrastructure, team-collaboration, office",,"lldap/lldap","Light LDAP implementation."
"MITM Proxy","app-security","app-development","mitmproxy.org","mitmproxy/mitmproxy","An interactive TLS-capable intercepting HTTP proxy."
"TinyAuth","app-security","app-development",tinyauth.app,steveiliop56/tinyauth,"Tinyauth is a tiny OpenID Connect (OIDC) authentication and authorization server for your self-hosted applications."
"Databasus","backup","infrastructure","databasus.com","databasus/databasus","Open-source, self-hosted database backup and management tool with a modern web interface."
"Sequin Stream","backup","infrastructure, app-development","sequinstream.com","sequin-io/sequin","Real-time sync for Postgres."
"Backrest","backup","infrastructure",,"garethgeorge/backrest","Web UI and orchestrator for restic backup."
"Duplicati","backup","infrastructure","duplicati.com","duplicati/duplicati","Free backup software to store encrypted backups online."
"ZeroByte","backup","infrastructure","zerobyte.app","nicotsx/zerobyte","Backup automation for self-hosters. Built on top of restic"
"Invoice Ninja","billing","office","invoiceninja.com","invoiceninja/invoiceninja","Free open-source invoicing and billing."
"Paymenter","billing","infrastructure","paymenter.org","paymenter/paymenter","Paymenter is an open source payment gateway for your hosting."
"Directus","cms","app-development, low-code","directus.io","directus/directus","The flexible backend for all your projects. Turn your DB into a headless CMS, admin panels, or apps."
"Ghost","cms","office, content","ghost.org","TryGhost/Ghost","Independent technology for modern publishing, memberships, subscriptions and newsletters."
"Nitropage","cms","app-development, low-code, office, content",nitropage.org,nitropage/nitropage,"Nitropage is an extensible, drag-and-drop website builder based on SolidStart, completely free and open source."
"Strapi","cms","app-development, low-code","strapi.io","strapi/strapi","Open source Node.js Headless CMS to easily build customisable APIs."
"Vvveb","cms","app-development, low-code, office, content","vvveb.com","givanse/VvvebJs","Drag and drop website builder."
"Wordpress","cms","low-code, content","wordpress.org","WordPress/WordPress","Web software you can use to create a beautiful website, blog, or app."
"Forgejo","code-repository","app-development, infrastructure, devsecops","forgejo.org","forgejo/forgejo","Self-hosted lightweight software forge, exclusively Free Software."
"Gitea","code-repository","app-development, infrastructure, devsecops","gitea.com","go-gitea/gitea","Gitea - Git with a cup of tea! Painless self-hosted all-in-one software development service, including Git hosting, code review, team collaboration, package registry and CI/CD"
"Gitlab","code-repository","app-development, infrastructure, devsecops","gitlab.com","gitlabhq/gitlabhq","Intelligent orchestration platform designed to help teams ship secure software faster."
"Onedev","code-repository","app-development, infrastructure, devsecops","onedev.io","theonedev/onedev","Super Easy All-In-One DevOps Platform."
"Bento PDF","converter","office, app-development","bentopdf.com","alam00000/bentopdf","Powerful, privacy-first, and open-source PDF toolkit to manipulate, edit, merge, and process PDF files directly within the web browser."
"ConvertX","converter","office",,"C4illin/ConvertX","Self-hosted online file converter designed to convert files between over 1,000 different formats."
"Gotenberg","converter","office, app-development","gotenberg.dev","gotenberg/gotenberg","A Docker-powered stateless API for PDF files."
"Imgcompress","converter","office, app-development","imgcompress.karimzouine.com","karimz1/imgcompress","Imgcompress is a self-hosted image processing toolbox that handles compression, format conversion, and AI background removal in a single web interface. It supports over 70 input formats (including PSD, HEIC, and RAW) and can output common formats or generate PDFs, all without sending files to external services."
"Stirling PDF","converter","office, app-development","stirlingpdf.com","Stirling-Tools/Stirling-PDF","Locally hosted web application that allows you to perform various operations on PDF files."
"Vert","converter","office","vert.sh","VERT-sh/VERT","The next-generation file converter. Open source, fully local* and free forever."
"Handbrake","converter","office","handbrake.fr","HandBrake/HandBrake","Open source video transcoder."
"Espo CRM","crm","helpdesk, office, content","espocrm.com","espocrm/espocrm","Open Source CRM Application to manage sales, leads, contacts, marketing campaigns, and support cases."
"Twenty","crm","office","twenty.com","twentyhq/twenty","Open-Source CRM designed to fit your unique business."
"Metabase","data-analytics","office, team-collaboration","metabase.com","metabase/metabase","The simplest, fastest way to get business intelligence and analytics."
"Open Metadata","data-analytics","documentation","open-metadata.org","open-metadata/OpenMetadata","Open Standard for Metadata."
"Apache Superset","data-analytics","office, team-collaboration","superset.apache.org","apache/superset","Data Visualization and Data Exploration Platform."
"SearXNG","data-analytics","office","searx.space","searxng/searxng","A privacy-respecting, hackable metasearch engine."
"CloudBeaver","data-analytics","infrastructure, app-development","cloudbeaver.io","dbeaver/cloudbeaver","Cloud Database Manager."
"Apache Tika","data-analytics","app-development, content","tika.apache.org","apache/tika","A content analysis toolkit."
"Elasticsearch","database","infrastructure, app-development","elastic.co","elastic/elasticsearch","Distributed, RESTful search and analytics engine."
"Code Server","dev-platform","app-development, infrastructure","coder.com/docs/code-server","coder/code-server","Run Visual Studio Code (VS Code) in the browser on a remote server."
"Hoppscotch","dev-platform","app-development","hoppscotch.io","hoppscotch/hoppscotch","Open source API development ecosystem."
"Libretranslate","dev-platform","app-development","libretranslate.com","LibreTranslate/LibreTranslate","Free and Open Source Machine Translation API."
"Shlink","dev-platform","office, app-development","shlink.io","shlinkio/shlink","The URL shortener."
"Soketi","dev-platform","infrastructure, app-development","soketi.app","soketi/soketi","Fast, resilient, and scalable WebSockets server."
"Tolgee","dev-platform","app-development","tolgee.io","tolgee/tolgee-platform","Open-source localization platform."
"Unleash","dev-platform","app-development","getunleash.io","Unleash/unleash","Open source feature management solution."
"Weblate","dev-platform","app-development","weblate.org","WeblateOrg/weblate","Web-based translation tool with tight version control integration."
"Wakapi","dev-platform","team-collaboration, app-development, office","wakapi.dev","muety/wakapi","A minimalist, self-hosted WakaTime-compatible backend for coding statistics."
"FSCrawler","dev-platform","content, office","fscrawler.readthedocs.io","dadoonet/fscrawler","Elasticsearch File System Crawler."
"Playwright","dev-platform","app-development","playwright.dev","microsoft/playwright","Node.js library to automate Chromium, Firefox and WebKit."
"Documenso","document-signing","app-development, office","documenso.com","documenso/documenso","Sign everywhere with Documenso. Build workflows, create templates, and integrate seamlessly with tools you love—modern, secure, and customizable for any scale."
"Docuseal","document-signing","app-development, office","www.docuseal.com","docusealco/docuseal","Free and Open source tool to streamline document filling and signing. Create custom PDF forms to complete and sign with an easy to use online tool. Automatic digital signature."
"Alexandrie","documentation","office, documentation, app-development","alexandrie-hub.fr","Smaug6739/Alexandrie","Fast, feature-rich Markdown workspace designed for speed, clarity, and collaboration."
"Docmost","documentation","office, team-collaboration, documentation",docmost.com,"docmost/docmost","Open-source collaborative wiki and documentation software. Alternative to Confluence and Notion."
"Outline","documentation","office, team-collaboration, documentation","getoutline.com","outline/outline","The fastest knowledge base for growing teams. Beautiful, feature rich, and markdown compatible."
"Paperless-ngx","documentation","office","docs.paperless-ngx.com","paperless-ngx/paperless-ngx","A community-supported supercharged version of paperless."
"SiYuan","documentation","office","b3log.org/siyuan","siyuan-note/siyuan","A privacy-first, self-hosted, fully open source personal knowledge management software."
"Dolibarr","erp","helpdesk, office, content","dolibarr.org","Dolibarr/dolibarr","Open source ERP and CRM for business."
"ErpNext","erp","helpdesk, office, content","erpnext.com","frappe/erpnext","Open Source ERP built for the web."
"Odoo","erp","helpdesk, office, content","odoo.com","odoo/odoo","Open Source ERP and CRM."
"Arcane","infra-management","devsecops, infrastructure","getarcane.app","getarcaneapp/arcane","Modern Docker Management, Designed for Everyone."
"Portainer","infra-management","devsecops, infrastructure","portainer.io","portainer/portainer","Making Docker and Kubernetes management easy."
"Harbor","infra-management","devsecops, infrastructure","goharbor.io","goharbor/harbor","An open source trusted cloud native registry project."
